Timestamp,Host,Reachable,Avg_RTT_ms
2025-06-27 19:40:02,1.1.1.1,Yes,2.861
2025-06-27 19:40:03,192.168.1.1,Yes,N/A
2025-06-27 19:50:01,8.8.8.8,Yes,7.728
2025-06-27 19:50:02,1.1.1.1,Yes,5.354
2025-06-27 19:50:03,192.168.1.1,Yes,N/A
2025-06-27 20:00:01,8.8.8.8,Yes,9.389
2025-06-27 20:00:02,1.1.1.1,Yes,3.834
2025-06-27 20:00:03,192.168.1.1,Yes,N/A
2025-06-27 20:10:01,8.8.8.8,Yes,11.001
2025-06-27 20:10:02,1.1.1.1,Yes,3.703
2025-06-27 20:10:03,192.168.1.1,Yes,N/A
2025-06-27 20:20:01,8.8.8.8,Yes,8.407
2025-06-27 20:20:02,1.1.1.1,Yes,2.044
2025-06-27 20:20:03,192.168.1.1,Yes,N/A
2025-06-27 20:30:01,8.8.8.8,Yes,10.167
2025-06-27 20:30:02,1.1.1.1,Yes,2.219
2025-06-27 20:30:03,192.168.1.1,Yes,N/A
2025-06-27 20:40:01,8.8.8.8,Yes,10.264
2025-06-27 20:40:02,1.1.1.1,Yes,5.331
2025-06-27 20:40:03,192.168.1.1,Yes,N/A
2025-06-27 20:50:01,8.8.8.8,Yes,8.053
2025-06-27 20:50:02,1.1.1.1,Yes,4.262
2025-06-27 20:50:03,192.168.1.1,Yes,N/A
2025-06-27 21:00:01,8.8.8.8,Yes,9.335
2025-06-27 21:00:02,1.1.1.1,Yes,2.503
2025-06-27 21:00:03,192.168.1.1,Yes,N/A
2025-06-27 21:10:01,8.8.8.8,Yes,9.498
2025-06-27 21:10:02,1.1.1.1,Yes,3.654
2025-06-27 21:10:03,192.168.1.1,Yes,N/A
2025-06-27 21:20:01,8.8.8.8,Yes,12.018
2025-06-27 21:20:02,1.1.1.1,Yes,2.224
2025-06-27 21:20:03,192.168.1.1,Yes,N/A
2025-06-27 21:30:01,8.8.8.8,Yes,7.732
2025-06-27 21:30:02,1.1.1.1,Yes,3.048
2025-06-27 21:30:03,192.168.1.1,Yes,N/A
2025-06-27 21:40:01,8.8.8.8,Yes,9.832
2025-06-27 21:40:02,1.1.1.1,Yes,4.144
2025-06-27 21:40:03,192.168.1.1,Yes,N/A
2025-06-27 21:50:01,8.8.8.8,Yes,58.355
2025-06-27 21:50:02,1.1.1.1,Yes,4.402
2025-06-27 21:50:03,192.168.1.1,Yes,N/A
2025-06-27 22:00:02,8.8.8.8,Yes,74.659
2025-06-27 22:00:03,1.1.1.1,Yes,1.843
2025-06-27 22:00:05,192.168.1.1,Yes,N/A
2025-06-27 22:10:01,8.8.8.8,Yes,15.405
2025-06-27 22:10:02,1.1.1.1,Yes,2.342
2025-06-27 22:10:13,192.168.1.1,Yes,N/A
2025-06-27 22:20:02,8.8.8.8,Yes,53.987
2025-06-27 22:20:03,1.1.1.1,Yes,13.121
2025-06-27 22:20:04,192.168.1.1,Yes,N/A
2025-06-27 22:30:01,8.8.8.8,Yes,7.612
2025-06-27 22:30:02,1.1.1.1,Yes,1.985
2025-06-27 22:30:03,192.168.1.1,Yes,N/A
2025-06-27 22:40:01,8.8.8.8,Yes,9.400
2025-06-27 22:40:02,1.1.1.1,Yes,7.524
2025-06-27 22:40:03,192.168.1.1,Yes,N/A
2025-06-27 22:50:01,8.8.8.8,Yes,9.254
2025-06-27 22:50:02,1.1.1.1,Yes,4.530
2025-06-27 22:50:03,192.168.1.1,Yes,N/A
2025-06-27 23:00:01,8.8.8.8,Yes,14.409
2025-06-27 23:00:02,1.1.1.1,Yes,2.025
2025-06-27 23:00:03,192.168.1.1,Yes,N/A
2025-06-27 23:10:01,8.8.8.8,Yes,8.408
2025-06-27 23:10:02,1.1.1.1,Yes,2.027
2025-06-27 23:10:03,192.168.1.1,Yes,N/A
2025-06-28 09:20:01,8.8.8.8,Yes,44.677
2025-06-28 09:20:02,1.1.1.1,Yes,9.367
2025-06-28 09:20:03,192.168.1.1,Yes,N/A
2025-06-28 09:30:01,8.8.8.8,Yes,103.245
2025-06-28 09:30:02,1.1.1.1,Yes,6.452
2025-06-28 09:30:03,192.168.1.1,Yes,N/A
2025-06-28 09:40:01,8.8.8.8,Yes,7.887
2025-06-28 09:40:02,1.1.1.1,Yes,6.624
2025-06-28 09:40:03,192.168.1.1,Yes,N/A
2025-06-28 09:50:01,8.8.8.8,Yes,7.463
2025-06-28 09:50:02,1.1.1.1,Yes,4.538
2025-06-28 09:50:03,192.168.1.1,Yes,N/A
2025-06-28 10:00:01,8.8.8.8,Yes,9.511
2025-06-28 10:00:02,1.1.1.1,Yes,1.731
2025-06-28 10:00:03,192.168.1.1,Yes,N/A
2025-06-28 10:10:01,8.8.8.8,Yes,84.219
2025-06-28 10:10:02,1.1.1.1,Yes,2.114
2025-06-28 10:10:03,192.168.1.1,Yes,N/A
2025-06-28 10:21:16,8.8.8.8,Yes,15.316
2025-06-28 10:21:17,1.1.1.1,Yes,2.784
2025-06-28 10:21:18,192.168.1.1,Yes,N/A
2025-06-28 10:30:01,8.8.8.8,Yes,7.300
2025-06-28 10:30:02,1.1.1.1,Yes,2.249
2025-06-28 10:30:03,192.168.1.1,Yes,N/A
2025-06-28 10:40:01,8.8.8.8,Yes,7.257
2025-06-28 10:40:02,1.1.1.1,Yes,2.372
2025-06-28 10:40:03,192.168.1.1,Yes,N/A
2025-06-28 10:50:01,8.8.8.8,Yes,7.595
2025-06-28 10:50:02,1.1.1.1,Yes,1.852
2025-06-28 10:50:03,192.168.1.1,Yes,N/A
2025-06-28 11:00:01,8.8.8.8,Yes,9.961
2025-06-28 11:00:02,1.1.1.1,Yes,5.056
2025-06-28 11:00:03,192.168.1.1,Yes,N/A
2025-06-28 11:10:01,8.8.8.8,Yes,9.672
2025-06-28 11:10:02,1.1.1.1,Yes,1.885
2025-06-28 11:10:04,192.168.1.1,Yes,N/A
2025-06-28 11:20:01,8.8.8.8,Yes,9.078
2025-06-28 11:20:02,1.1.1.1,Yes,3.678
2025-06-28 11:20:04,192.168.1.1,Yes,N/A
2025-06-28 11:30:01,8.8.8.8,Yes,9.201
2025-06-28 11:30:02,1.1.1.1,Yes,2.105
2025-06-28 11:30:03,192.168.1.1,Yes,N/A
2025-06-28 11:40:01,8.8.8.8,Yes,8.112
2025-06-28 11:40:02,1.1.1.1,Yes,2.394
2025-06-28 11:40:03,192.168.1.1,Yes,N/A
2025-06-28 11:50:01,8.8.8.8,Yes,8.393
2025-06-28 11:50:02,1.1.1.1,Yes,4.453
2025-06-28 11:50:03,192.168.1.1,Yes,N/A
2025-06-28 12:00:01,8.8.8.8,Yes,9.837
2025-06-28 12:00:02,1.1.1.1,Yes,2.879
2025-06-28 12:00:03,192.168.1.1,Yes,N/A
2025-06-28 12:10:01,8.8.8.8,Yes,8.677
2025-06-28 12:10:02,1.1.1.1,Yes,2.141
2025-06-28 12:10:03,192.168.1.1,Yes,N/A
2025-06-28 12:20:01,8.8.8.8,Yes,9.087
2025-06-28 12:20:02,1.1.1.1,Yes,3.295
2025-06-28 12:20:03,192.168.1.1,Yes,N/A
2025-06-28 12:30:01,8.8.8.8,Yes,9.738
2025-06-28 12:30:02,1.1.1.1,Yes,4.035
2025-06-28 12:30:03,192.168.1.1,Yes,N/A
2025-06-28 13:30:01,8.8.8.8,Yes,7.947
2025-06-28 13:30:12,1.1.1.1,Yes,6.021
2025-06-28 13:30:13,192.168.1.1,Yes,N/A
2025-06-28 13:40:01,8.8.8.8,Yes,10.662
2025-06-28 13:40:02,1.1.1.1,Yes,4.012
2025-06-28 13:40:03,192.168.1.1,Yes,N/A
2025-06-28 13:50:01,8.8.8.8,Yes,8.799
2025-06-28 13:50:02,1.1.1.1,Yes,2.018
2025-06-28 13:50:03,192.168.1.1,Yes,N/A
2025-06-28 14:00:01,8.8.8.8,Yes,8.527
2025-06-28 14:00:02,1.1.1.1,Yes,2.130
2025-06-28 14:00:03,192.168.1.1,Yes,N/A
2025-06-28 14:10:01,8.8.8.8,Yes,8.218
2025-06-28 14:10:02,1.1.1.1,Yes,4.276
2025-06-28 14:10:03,192.168.1.1,Yes,N/A
2025-06-28 14:20:01,8.8.8.8,Yes,7.669
2025-06-28 14:20:02,1.1.1.1,Yes,3.987
2025-06-28 14:20:03,192.168.1.1,Yes,N/A
2025-06-28 14:30:01,8.8.8.8,Yes,9.215
2025-06-28 14:30:02,1.1.1.1,Yes,2.400
2025-06-28 14:30:03,192.168.1.1,Yes,N/A
2025-06-28 14:40:01,8.8.8.8,Yes,7.667
2025-06-28 14:40:02,1.1.1.1,Yes,5.676
2025-06-28 14:40:03,192.168.1.1,Yes,N/A
2025-06-28 14:50:01,8.8.8.8,Yes,9.128
2025-06-28 14:50:02,1.1.1.1,Yes,3.590
2025-06-28 14:50:03,192.168.1.1,Yes,N/A
2025-06-28 15:00:02,8.8.8.8,Yes,9.893
2025-06-28 15:00:03,1.1.1.1,Yes,2.170
2025-06-28 15:00:04,192.168.1.1,Yes,N/A
2025-06-28 15:10:01,8.8.8.8,Yes,7.867
2025-06-28 15:10:03,1.1.1.1,Yes,2.301
2025-06-28 15:10:04,192.168.1.1,Yes,N/A
2025-06-28 15:20:01,8.8.8.8,Yes,9.183
2025-06-28 15:20:02,1.1.1.1,Yes,2.172
2025-06-28 15:20:03,192.168.1.1,Yes,N/A
2025-06-28 17:50:01,8.8.8.8,Yes,17.545
2025-06-28 17:50:02,1.1.1.1,Yes,6.129
2025-06-28 17:50:13,192.168.1.1,Yes,N/A
2025-06-28 18:00:01,8.8.8.8,Yes,17.731
2025-06-28 18:00:02,1.1.1.1,Yes,3.288
2025-06-28 18:00:03,192.168.1.1,Yes,N/A
2025-06-28 18:10:01,8.8.8.8,Yes,19.888
